iter	Passed	Remaining
643	13651	7546
644	13659	7518
645	13685	7499
646	13696	7472
647	13703	7443
648	13709	7414
649	13716	7385
650	13728	7359
651	13739	7333
652	13763	7313
653	13773	7286
654	13797	7267
655	13803	7238
656	13829	7219
657	13838	7192
658	13862	7173
659	13898	7160
660	13917	7137
661	13934	7114
662	13943	7087
663	13973	7070
664	13996	7051
665	14025	7033
666	14033	7006
667	14047	6981
668	14063	6958
669	14081	6935
670	14095	6911
671	14115	6889
672	14136	6868
673	14155	6846
674	14198	6836
675	14207	6809
676	14232	6790
677	14265	6775
678	14280	6751
679	14295	6727
680	14304	6700
681	14311	6673
682	14318	6645
683	14325	6618
684	14332	6590
685	14338	6563
686	14346	6536
687	14356	6510
688	14364	6483
689	14372	6457
690	14379	6430
691	14389	6404
692	14399	6378
693	14411	6354
694	14423	6329
695	14439	6306
696	14456	6284
697	14498	6272
698	14505	6246
699	14520	6223
700	14534	6199
701	14550	6176
702	14560	6151
703	14574	6128
704	14592	6106
705	14609	6083
706	14623	6060
707	14647	6041
708	14662	6017
709	14673	5993
710	14682	5967
711	14696	5944
712	14706	5919
713	14729	5899
714	14739	5875
715	14759	5854
716	14765	5827
717	14779	5804
718	14794	5782
719	14802	5756
720	14837	5741
721	14857	5720
722	14886	5703
723	14912	5685
724	14926	5661
725	14945	5640
726	14956	5616
727	14970	5593
728	14990	5572
729	14997	5547
730	15016	5526
731	15046	5508
732	15067	5488
733	15098	5471
734	15113	5449
735	15126	5425
736	15155	5408
737	15166	5384
738	15190	5364
739	15200	5340
740	15220	5319
741	15246	5301
742	15270	5282
743	15277	5256
744	15289	5233
745	15305	5211
746	15324	5190
747	15335	5166
748	15348	5143
749	15371	5123
750	15396	5104
751	15413	5083
752	15422	5058
753	15447	5039
754	15464	5018
755	15479	4996
756	15493	4973
757	15504	4950
758	15513	4926
759	15529	4904
760	15542	4881
761	15564	4861
762	15587	4841
763	15596	4817
764	15668	4813
765	15679	4789
766	15694	4767
767	15707	4744
768	15724	4723
769	15737	4700
770	15757	4680
771	15820	4672
772	15845	4653
773	15858	4630
774	15873	4608
775	15885	4585
776	15904	4564
777	15938	4547
778	15960	4528
779	15968	4504
780	15977	4480
781	15986	4456
782	15999	4434
783	16009	4410
784	16017	4387
785	16024	4363
786	16035	4339
787	16052	4318
788	16064	4296
789	16089	4277
790	16100	4254
791	16115	4232
792	16121	4208
793	16141	4187
794	16158	4166
795	16176	4145
796	16196	4125
797	16205	4102
798	16213	4078
799	16235	4058
800	16244	4035
801	16251	4012
802	16258	3988
803	16264	3964
804	16272	3941
805	16280	3918
806	16288	3895
807	16299	3873
808	16307	3850
809	16326	3829
810	16334	3806
811	16341	3783
812	16348	3760
813	16355	3737
814	16361	3713
815	16368	3690
816	16376	3668
817	16388	3646
818	16449	3635
819	16469	3615
820	16494	3596
821	16504	3573
822	16523	3553
823	16548	3534
824	16559	3512
825	16569	3490
826	16591	3470
827	16598	3448
828	16611	3426
829	16631	3406
830	16648	3385
831	16663	3364
832	16682	3344
833	16700	3324
834	16716	3303
835	16737	3283
836	16747	3261
837	16765	3240
838	16771	3218
839	16798	3199
840	16815	3179
841	16827	3157
842	16837	3135
843	16849	3114
844	16863	3093
845	16874	3071
846	16890	3050
847	16904	3030
848	16911	3007
849	16928	2987
850	16937	2965
851	16950	2944
852	16958	2922
853	16964	2900
854	16975	2878
855	16985	2857
856	17000	2836
857	17013	2815
858	17025	2794
859	17045	2774
860	17069	2755
861	17076	2733
862	17083	2712
863	17089	2690
864	17098	2668
865	17105	2646
866	17112	2625
867	17121	2603
868	17129	2582
869	17136	2560
870	17157	2541
871	17171	2520
872	17185	2500
873	17195	2478
874	17213	2459
875	17233	2439
876	17250	2419
877	17264	2398
878	17283	2379
879	17300	2359
880	17327	2340
881	17348	2320
882	17358	2300
883	17365	2278
884	17372	2257
885	17380	2236
886	17388	2215
887	17396	2194
888	17402	2172
889	17427	2153
890	17434	2132
891	17442	2111
892	17449	2090
893	17456	2069
894	17467	2049
895	17473	2028
896	17483	2007
897	17489	1986
898	17498	1965
899	17537	1948
900	17550	1928
901	17558	1907
902	17577	1888
903	17588	1867
904	17625	1850
905	17631	1829
906	17638	1808
907	17648	1788
908	17655	1767
909	17661	1746
910	17667	1726
911	17673	1705
912	17687	1685
913	17693	1664
914	17727	1646
915	17736	1626
916	17754	1607
917	17761	1586
918	17770	1566
919	17776	1545
920	17789	1525
921	17796	1505
922	17811	1485
923	17873	1470
924	17880	1449
925	17906	1430
926	17930	1412
927	17939	1391
928	17946	1371
929	17953	1351
930	17978	1332
931	18002	1313
932	18018	1293
933	18025	1273
934	18031	1253
935	18037	1233
936	18044	1213
937	18051	1193
938	18058	1173
939	18066	1153
940	18073	1133
941	18080	1113
942	18086	1093
943	18092	1073
944	18100	1053
945	18107	1033
946	18118	1014
947	18125	994
948	18140	974
949	18161	955
950	18172	936
951	18180	916
952	18191	897
953	18202	877
954	18226	858
955	18232	839
956	18241	819
957	18251	800
958	18260	780
959	18277	761
960	18290	742
961	18308	723
962	18324	704
963	18333	684
964	18340	665
965	18350	645
966	18366	626
967	18377	607
968	18386	588
969	18399	569
970	18418	550
971	18424	530
972	18431	511
973	18437	492
974	18443	472
975	18448	453
976	18456	434
977	18462	415
978	18467	3969979	18480	3779980	18486	358985	18566	263
9982	18516	320987	18595	225
988	18606	206
989	18645	188
990	18654	169
991	18673	150
992	18696	131
993	18719	112
994	18739	94
995	18747	75
996	18765	56
997	18811	37
998	18843	18
999	18853	0
76	75
996	18687	56
997	18728	37
998	18770	18
999	18782	0
